Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
421.3907844,64.94219445,25.56541006,29.19438672,1.399999976,305.2000122,3.790092468,2.5
422.3899693,64.94220179,25.56538598,29.40380872,1.360000014,297.3999939,3.790092468,2.5
423.3913595,64.94220876,25.56536011,29.48865788,1.330000043,298.7000122,3.790092468,2.5
424.3910766,64.94221517,25.56533442,29.62160218,1.409999967,298.1000061,3.790092468,2.5
425.3923904,64.94222047,25.56530644,29.83309803,1.389999986,295.3999939,3.790092468,2.5
426.3914697,64.9422259,25.56527786,29.72098568,1.450000048,298.2999878,3.790092468,2.5
427.3906926,64.9422328,25.56525242,29.79204076,1.389999986,300.0,3.790092468,2.5
428.3913658,64.94223792,25.56522731,29.76464442,1.379999995,297.7999878,3.790092468,2.5
429.389801,64.94224327,25.56520109,29.78357414,1.379999995,301.3999939,3.790092468,2.5
430.3915322,64.94224966,25.56517474,29.59333737,1.399999976,304.0,3.790092468,2.5
431.3920954,64.94225663,25.56514957,29.52608682,1.360000014,300.8999939,3.790092468,2.5
432.3919323,64.94226146,25.56512477,29.50473264,1.379999995,299.2000122,3.790092468,2.5
433.3901181,64.94226887,25.56510144,29.40556084,1.389999986,301.6000061,3.790092468,2.5
434.3919044,64.94227491,25.56507537,29.84850242,1.399999976,299.1000061,3.790092468,2.5
435.3912879,64.9422803,25.56505009,29.99487344,1.370000005,301.3999939,3.790092468,2.5
436.3910232,64.94228703,25.56502621,29.88770548,1.409999967,300.2999878,3.790092468,2.5
437.3905581,64.94229437,25.56499986,30.14418591,1.440000057,301.2000122,3.790092468,2.5
438.3919571,64.94230039,25.56497427,30.16665621,1.480000019,301.7999878,3.790092468,2.5
439.3909254,64.94230554,25.5649481,30.026345,1.419999957,302.3999939,3.790092468,2.5
440.3895682,64.94231058,25.56492106,30.06743031,1.399999976,293.6000061,3.790092468,2.5
441.3909394,64.94231568,25.56489344,30.01488783,1.409999967,293.8999939,3.790092468,2.5
442.3918663,64.94232127,25.56486619,29.90082231,1.5,300.5,3.790092468,2.5
443.3918554,64.94232852,25.56484038,29.85389682,1.429999948,301.1000061,3.790092468,2.5
444.391847,64.94233572,25.56481229,29.6885634,1.450000048,299.8999939,3.790092468,2.5
445.3897251,64.94234207,25.56478574,29.50735983,1.399999976,301.1000061,3.790092468,2.5
446.3899502,64.94234732,25.56476049,29.34873804,1.389999986,299.2000122,3.790092468,2.5
447.3924029,64.94235322,25.5647364,29.51921826,1.399999976,302.1000061,3.790092468,2.5
448.3919363,64.942359,25.56471213,29.3909313,1.360000014,298.3999939,3.790092468,2.5
449.3903334,64.9423655,25.56468732,29.35688337,1.429999948,297.5,3.790092468,2.5
450.3912725,64.9423714,25.56466091,29.28590885,1.370000005,294.7999878,3.790092468,2.5
451.3915525,64.94237758,25.56463437,29.09890677,1.409999967,298.2999878,3.790092468,2.5
452.3921102,64.94238482,25.56460818,28.93711316,1.370000005,301.7999878,3.790092468,2.5
453.3914388,64.94239112,25.56458062,29.08482814,1.429999948,303.1000061,3.790092468,2.5
454.3919105,64.94239709,25.56455246,28.86620989,1.389999986,302.0,3.790092468,2.5
455.3914655,64.94240381,25.56452434,28.77564409,1.350000024,300.2000122,3.790092468,2.5
456.3913243,64.94241036,25.56449555,28.5990797,1.350000024,297.2999878,3.790092468,2.5
457.3915217,64.94241813,25.56447164,28.35867297,1.360000014,297.7999878,3.790092468,2.5
458.3916137,64.94242456,25.56444481,28.34891727,1.399999976,300.1000061,3.790092468,2.5
459.3913295,64.94243131,25.56441694,28.3174335,1.389999986,300.5,3.790092468,2.5
